, 4th of(event, time)
can lead to(effect, disease)
can lead to(effect, effect)
can lead to(effect, risk)
can lead to(factor, cause)
can lead to(factor, complication)
can lead to(factor, disease)
can lead to(factor, disorder)
can lead to(factor, effect)
can lead to(factor, event)
can lead to(factor, factor)
can lead to(factor, illness)
can lead to(factor, process)
can lead to(factor, risk)
can lead to(illness, complication)
can lead to(illness, disease)
can lead to(illness, effect)
can lead to(illness, illness)
can lead to(illness, risk)
can lead to(infection, complication)
can lead to(infection, disease)
can lead to(infection, effect)
can lead to(infection, infection)
can lead to(infection, time)
can lead to(mineral, disease)
can lead to(mineral, effect)
can lead to(process, disease)
can lead to(risk, complication)
can lead to(risk, disease)
can lead to(risk, effect)
can lead to(risk, illness)
can lead to(risk, risk)
can lead to(treatment, effect)
can learn from(city, city)
can lower(factor, factor)
can lower(food, factor)
can lower(vitamin, factor)
can make(disorder, disease)
can make(drug, effect)
can make(medication, effect)
can obtain(agency, process)
can occur during(disease, time)
can occur during(disorder, time)
can occur in(disease, animal)
can occur with(complication, disease)
can pass into(drug, source)
can play(country, sport)
can play(game, game)
can play(sport, sport)
can produce(drug, effect)
can progress to(disease, disease)
can progress to(disorder, disease)
can raise(drug, factor)
can raise(factor, factor)
can raise(herb, factor)
can raise(substance, factor)
can read(system, system)
can reduce(vitamin, factor)
can refer to(game, game)
can result in(cause, disease)
can result in(cause, effect)
can result in(disease, complication)
can result in(disease, disease)
can result in(disease, effect)
can result in(disease, risk)
can result in(disorder, complication)
can result in(disorder, effect)
can result in(factor, disease)
can result in(factor, effect)
can reveal(protein, disease)
can seek(country, process)
can use(browser, browser)
can win(country, event)
cannot be give by(hormone, effect)
cannot be take by(hormone, area)
cannot be take by(hormone, effect)
capture(country, city)
carry(animal, disease)
carry(leader, state)
carry(man, state)
cast(infection, material)
cast(material, material)
cast(material, metal)
cast(material, mineral)
catch in(fish, country)
cause(agent, complication)
cause(agent, disease)
cause(agent, effect)
cause(agent, infection)
cause(cause, cause)
cause(cause, complication)
cause(cause, disease)
cause(cause, disorder)
cause(cause, effect)
cause(cause, factor)
cause(cause, illness)
cause(cause, infection)
cause(cause, risk)
cause(chemical, effect)
cause(complication, disease)
cause(complication, effect)
cause(disease, cause)
cause(disease, complication)
cause(disease, disease)
cause(disease, disorder)
cause(disease, effect)
cause(disease, event)
cause(disease, factor)
cause(disease, illness)
cause(disease, infection)
cause(disease, process)
cause(disease, risk)
cause(disease, treatment)
cause(disorder, complication)
cause(disorder, disease)
cause(disorder, disorder)
cause(disorder, effect)
cause(disorder, factor)
cause(disorder, risk)
cause(drug, cause)
cause(drug, complication)
cause(drug, disease)
cause(drug, disorder)
cause(drug, effect)
cause(drug, factor)
cause(drug, illness)
cause(drug, risk)
cause(effect, cause)
cause(effect, complication)
cause(effect, disease)
cause(effect, effect)
cause(effect, factor)
cause(factor, cause)
cause(factor, complication)
cause(factor, disease)
cause(factor, disorder)
cause(factor, effect)
cause(factor, event)
cause(factor, factor)
cause(factor, illness)
cause(factor, infection)
cause(factor, process)
cause(factor, risk)
cause(food, disease)
cause(food, disorder)
cause(food, effect)
cause(gas, disease)
cause(gas, effect)
cause(herb, effect)
cause(hormone, disease)
cause(hormone, effect)
cause(hormone, factor)
cause(hormone, process)
cause(illness, complication)
cause(illness, disease)
cause(illness, effect)
cause(illness, infection)
cause(infection, complication)
cause(infection, disease)
cause(infection, disorder)
cause(infection, effect)
cause(infection, illness)
cause(infection, infection)
cause(inhibitor, effect)
cause(material, disease)
cause(medication, complication)
cause(medication, disease)
cause(medication, disorder)
cause(medication, effect)
cause(member, disease)
cause(member, infection)
cause(metal, disease)
cause(metal, effect)
cause(mineral, disease)
cause(mineral, effect)
cause(nutrient, effect)
cause(plant, effect)
cause(process, process)
cause(product, disease)
cause(product, disorder)
cause(product, effect)
cause(risk, complication)
cause(risk, disease)
cause(risk, effect)
cause(source, disease)
cause(source, effect)
cause(substance, complication)
cause(substance, disease)
cause(substance, disorder)
cause(substance, effect)
cause(substance, risk)
cause(time, effect)
cause(treatment, complication)
cause(treatment, disease)
cause(treatment, effect)
cause(use, effect)
cause(vitamin, effect)
cause by(disease, cause)
cause by(disease, disease)
cause by(disease, infection)
cause by(infection, cause)
cede(country, place)
cede(country, region)
cede(country, state)
cede(place, state)
celebrate(agency, event)
celebrate(city, event)
celebrate(city, time)
celebrate(country, event)
celebrate(country, time)
celebrate(engine, event)
celebrate(institution, event)
celebrate(leader, event)
celebrate(member, event)
celebrate(organization, event)
celebrate(place, event)
celebrate(place, time)
celebrate(state, time)
celebrate(time, event)
celebrate(time, time)
celebrate(town, event)
celebrate in(country, city)
champion(company, area)
champion(game, club)
cheat(game, game)
choose(company, company)
choose(fruit, company)
chop(crop, food)
chop(crop, vegetable)
chop(food, crop)
chop(food, food)
chop(food, herb)
chop(food, ingredient)
chop(food, plant)
chop(food, vegetable)
chop(herb, herb)
chop(herb, vegetable)
chop(ingredient, food)
chop(ingredient, herb)
chop(ingredient, vegetable)
chop(plant, herb)
chop(plant, vegetable)
chop(product, food)
chop(product, vegetable)
chop(vegetable, crop)
chop(vegetable, food)
chop(vegetable, herb)
chop(vegetable, ingredient)
chop(vegetable, plant)
chop(vegetable, vegetable)
claim(company, company)
claim(company, site)
claim(company, system)
claim(country, country)
claim(country, destination)
claim(country, island)
claim(country, place)
claim(country, region)
claim(fruit, browser)
claim(leader, country)
claim(leader, state)
claim(man, country)
claim that(leader, country)
claim that(man, country)
claim that(organization, vitamin)
clear for(sport, city)
coincide with(time, time)
collaborate with(agency, agency)
collaborate with(company, company)
collapse in(system, country)
collect(animal, substance)
collect in(village, country)
combine well with(herb, herb)
combine with(gas, protein)
come(time, time)
come from(activity, country)
come from(animal, country)
come from(art, country)
come from(artist, city)
come from(bird, country)
come from(browser, browser)
come from(crop, country)
come from(disease, animal)
come from(dish, country)
come from(drug, country)
come from(drug, drug)
come from(drug, plant)
come from(family, country)
come from(food, animal)
come from(food, country)
come from(food, crop)
come from(food, food)
come from(food, place)
come from(fruit, country)
come from(game, country)
come from(herb, country)
come from(ingredient, country)
come from(material, animal)
come from(material, country)
come from(member, country)
come from(member, state)
come from(mineral, country)
come from(nutrient, vegetable)
come from(plant, country)
come from(plant, place)
come from(product, animal)
come from(product, country)
come from(product, food)
come from(protein, food)
come from(site, state)
come from(source, animal)
come from(source, country)
come from(source, crop)
come from(source, food)
come from(source, source)
come from(sport, country)
come from(substance, country)
come from(system, country)
come from(tree, country)
come from(vegetable, country)
come from(village, country)
come in(drug, infection)
come in(medication, infection)
come in(product, herb)
come in(time, country)
come in(time, time)
come into(organization, city)
come of(country, factor)
come of(source, factor)
come to(activity, country)
come to(animal, country)
come to(art, country)
come to(artist, city)
come to(artist, country)
come to(artist, place)
come to(band, city)
come to(band, country)
come to(book, country)
come to(city, city)
come to(device, country)
come to(disease, country)
come to(event, area)
come to(event, city)
come to(event, country)
come to(event, place)
come to(event, state)
come to(game, area)
come to(game, city)
come to(game, country)
come to(game, place)
come to(game, state)
come to(infection, country)
come to(institution, country)
come to(leader, city)
come to(leader, country)
come to(leader, place)
come to(leader, state)
come to(man, city)
come to(man, country)
come to(man, place)
come to(man, state)
come to(member, city)
come to(member, place)
come to(member, state)
come to(place, city)
come to(place, place)
come to(place, town)
come to(player, city)
come to(process, country)
come to(sport, city)
come to(sport, country)
come to(sport, place)
come to(state, city)
come to(state, state)
come to(system, country)
come to(time, city)
come to(time, country)
come to(time, place)
come to(time, state)
come to(town, city)
come to(town, country)
come to(town, state)
come with(browser, system)
come with(browser, tool)
come with(disease, factor)
come with(food, food)
come with(system, application)
come with(system, browser)
come with(system, tool)
compare(drug, drug)
compare(drug, inhibitor)
compare(drug, medication)
compare(drug, treatment)
compare(medication, drug)
compare(medication, medication)
compare(treatment, drug)
compare(treatment, medication)
compete in(country, event)
compete in(country, sport)
compete with(company, company)
compete with(mineral, metal)
compete with(mineral, mineral)
complain to(country, organization)
complete acquisition of(company, company)
comprise(area, country)
comprise(association, country)
comprise(country, division)
comprise(destination, country)
comprise(institution, country)
comprise(material, material)
comprise(metal, material)
comprise(metal, metal)
comprise(organization, country)
comprise(region, country)
concede(country, state)
conclude that(agency, country)
condemn(country, city)
conduct(material, service)
conduct(metal, factor)
conduct(metal, service)
confirm(country, disease)
confirm(country, infection)
confirm(procedure, disease)
confirm in(disease, country)
confirm that(city, country)
conquer(book, country)
conquer(city, city)
conquer(city, country)
conquer(city, destination)
conquer(city, place)
conquer(country, country)
conquer(country, place)
conquer(country, region)
conquer(leader, country)
conquer(place, country)
conquer(system, country)
conquer(time, country)
consider(city, area)
consider(city, country)
consider(city, island)
consider(city, place)
consider(city, region)
consider(country, country)
consider(country, island)
consider(country, organization)
consider(country, place)
consider(country, region)
consider(country, state)
consider(place, country)
consist of(body, body)
consist of(food, food)
consist of(material, material)
consist of(region, country)
consist of(region, state)
consist of(treatment, drug)
consume(process, gas)
contact(agency, agency)
contact(company, agency)
contain(acid, acid)
contain(company, drug)
contain(crop, drug)
contain(crop, metal)
contain(crop, mineral)
contain(crop, nutrient)
contain(crop, protein)
contain(crop, source)
contain(crop, substance)
contain(crop, vitamin)
contain(device, metal)
contain(drug, agent)
contain(drug, drug)
contain(drug, food)
contain(drug, medication)
contain(drug, product)
contain(drug, source)
contain(drug, substance)
contain(effect, gas)
contain(factor, drug)
contain(factor, gas)
contain(factor, substance)
contain(fish, mineral)
contain(fish, nutrient)
contain(food, acid)
contain(food, agent)
contain(food, chemical)
contain(food, crop)
contain(food, drug)
contain(food, factor)
contain(food, food)
contain(food, hormone)
contain(food, ingredient)
contain(food, material)
contain(food, member)
contain(food, metal)
contain(food, mineral)
contain(food, nutrient)
contain(food, product)
contain(food, protein)
contain(food, source)
contain(food, substance)
contain(food, vitamin)
contain(fruit, metal)
contain(fruit, mineral)
contain(fruit, nutrient)
contain(fruit, source)
contain(fruit, substance)
contain(fruit, vitamin)
contain(gas, gas)
contain(gas, protein)
contain(herb, ingredient)
contain(herb, mineral)
contain(herb, nutrient)
contain(herb, source)
contain(herb, substance)
contain(herb, vitamin)
contain(ingredient, acid)
contain(ingredient, food)
contain(ingredient, ingredient)
contain(ingredient, mineral)
contain(ingredient, nutrient)
contain(ingredient, product)
contain(ingredient, protein)
contain(ingredient, source)
contain(ingredient, substance)
contain(ingredient, vitamin)
contain(material, gas)
contain(material, ingredient)
contain(material, material)
contain(material, metal)
contain(material, mineral)
contain(material, nutrient)
contain(material, substance)
contain(medication, drug)
contain(medication, medication)
contain(member, mineral)
contain(member, nutrient)
contain(metal, metal)
contain(mineral, metal)
contain(mineral, mineral)
contain(mineral, nutrient)
contain(plant, acid)
contain(plant, drug)
contain(plant, ingredient)
contain(plant, mineral)
contain(plant, nutrient)
contain(plant, protein)
contain(plant, source)
contain(plant, vitamin)
contain(product, acid)
contain(product, agent)
contain(product, chemical)
contain(product, drug)
contain(product, factor)
contain(product, food)
contain(product, gas)
contain(product, herb)
contain(product, hormone)
contain(product, ingredient)
contain(product, material)
contain(product, medication)
contain(product, metal)
contain(product, mineral)
contain(product, nutrient)
contain(product, plant)
contain(product, product)
contain(product, protein)
contain(product, source)
contain(product, substance)
contain(product, vitamin)
contain(protein, metal)
contain(protein, mineral)
contain(protein, nutrient)
contain(solution, mineral)
contain(source, acid)
contain(source, agent)
contain(source, chemical)
contain(source, drug)
contain(source, factor)
contain(source, food)
contain(source, gas)
contain(source, hormone)
contain(source, ingredient)
contain(source, material)
contain(source, member)
contain(source, metal)
contain(source, mineral)
contain(source, nutrient)
contain(source, product)
contain(source, protein)
contain(source, source)
contain(source, substance)
contain(source, vitamin)
contain(substance, drug)
contain(substance, factor)
contain(substance, gas)
contain(substance, product)
contain(substance, substance)
contain(treatment, drug)
contain(tree, nutrient)
contain(vegetable, ingredient)
contain(vegetable, mineral)
contain(vegetable, nutrient)
contain(vegetable, source)
contain(vegetable, substance)
contain(vegetable, vitamin)
continue in(disease, country)
continue in(event, country)
continue in(factor, country)
continue in(factor, state)
continue on(site, state)
contract(artist, disease)
contradict(book, book)
contribute to(cause, disease)
contribute to(disease, disease)
contribute to(factor, complication)
contribute to(factor, disease)
contribute to(factor, disorder)
contribute to(factor, effect)
contribute to(factor, factor)
contribute to(factor, illness)
contribute to(factor, risk)
control(band, country)
control(country, area)
control(country, body)
control(country, country)
control(country, island)
control(country, organization)
control(country, place)
control(country, region)
control(country, state)
control(place, country)
convene in(institution, city)
convene in(organization, city)
cook(town, food)
cook with(food, vegetable)
cook with(vegetable, food)
could cause(drug, effect)
could imagine(medication, agency)
could use(drug, drug)
cover(city, area)
cover(city, place)
cover(destination, place)
cover(food, crop)
cover(food, food)
cover(food, fruit)
cover(food, herb)
cover(food, ingredient)
cover(food, plant)
cover(food, product)
cover(food, vegetable)
cover(ingredient, crop)
cover(ingredient, food)
cover(ingredient, fruit)
cover(ingredient, plant)
cover(place, area)
cover(place, place)
cover(product, crop)
cover(product, food)
cover(product, fruit)
cover(product, plant)
cover(source, crop)
cover(source, food)
cover(source, fruit)
cover(source, plant)
cover(vegetable, crop)
cover(vegetable, food)
cover(vegetable, fruit)
cr for(drug, disorder)
cr for(medication, disorder)
create(agency, organization)
create(company, product)
create(company, tool)
create(organization, organization)
create in(village, country)
criticize(man, country)
cross(man, state)
cruise to(time, country)
crush(state, state)
cultivate in(village, country)
cut(material, food)
cut(metal, crop)
cut(metal, food)
damage(disease, organ)
damage(factor, organ)
de(magazine, country)
de(town, place)
deal(body, leader)
deal(body, man)
declare(agency, city)
declare(agency, country)
declare(agency, disease)
declare(city, country)
declare(company, process)
declare(country, city)
declare(country, country)
declare(country, island)
declare(country, place)
declare(employer, state)
declare(leader, city)
declare(leader, country)
declare(leader, state)
declare(man, country)
declare(man, state)
declare(member, country)
declare(organisation, city)
declare(organization, city)
declare(organization, country)
declare(organization, disease)
declare(organization, place)
declare(place, country)
declare(provider, state)
declare(state, fruit)
decline with(hormone, factor)
decrease(disease, organ)
decrease(drug, factor)
decrease(factor, factor)
decrease(factor, organ)
decrease(hormone, factor)
decrease with(factor, factor)
decrease with(hormone, factor)
defeat(area, city)
defeat(area, state)
defeat(city, area)
defeat(city, city)
defeat(city, country)
defeat(city, place)
defeat(city, state)
defeat(city, team)
defeat(city, town)
defeat(city, university)
defeat(country, country)
defeat(country, destination)
defeat(country, island)
defeat(country, member)
defeat(country, place)
defeat(country, state)
defeat(destination, country)
defeat(institution, state)
defeat(institution, university)
defeat(island, country)
defeat(member, state)
defeat(place, area)
defeat(place, city)
defeat(place, country)
defeat(place, place)
defeat(place, school)
defeat(place, state)
defeat(place, university)
defeat(player, player)
defeat(school, state)
defeat(school, university)
defeat(state, area)
defeat(state, city)
defeat(state, country)
defeat(state, institution)
defeat(state, place)
defeat(state, school)
defeat(state, state)
defeat(state, team)
defeat(state, university)
defeat(team, city)
defeat(team, state)
defeat(team, team)
defeat(town, city)
defeat(town, state)
defeat(university, city)
defeat(university, institution)
defeat(university, place)
defeat(university, school)
defeat(university, state)
defeat(university, university)
defend(book, organization)
defend(organization, organization)
defy(country, organization)
deliver(device, hormone)
deliver(game, service)
deliver(provider, service)
deliver(service, service)
demand(city, country)
demand(company, site)
demand(country, country)
demand(metal, country)
demand(organisation, country)
demand(organization, country)
demand(state, country)
demonstrate(procedure, disease)
denounce(country, country)
deny(agency, state)
deny(country, man)
depart(city, city)
depart(country, city)
depart(place, city)
depart(state, city)
depend on(country, industry)
depend on(factor, factor)
depend on(measure, factor)
depend on(process, factor)
deplete(factor, mineral)
descend from(vegetable, vegetable)
describe(measure, factor)
describe from(village, country)
describe from(village, state)
design(company, system)
design for(village, activity)
destroy(agency, material)
destroy(book, city)
destroy(city, city)
destroy(event, city)
destroy(factor, vitamin)
destroy(system, city)
detail(country, organization)
devastate(event, area)
devastate(event, city)
devastate(event, place)
devastate(event, state)
devastate(event, town)
develop(animal, disease)
develop(company, application)
develop(company, drug)
develop(company, material)
develop(company, product)
develop(company, system)
develop(company, technology)
develop(device, disease)
develop(disease, disease)
develop(organization, device)
develop during(disease, time)
develop for(village, organization)
develop for(village, sport)
develop in(art, country)
develop in(disease, animal)
develop in(disease, time)
develop in(disorder, time)
develop in(illness, time)
develop in(material, country)
develop in(village, area)
develop in(village, country)
develop in(village, place)
develop in(village, region)
develop in(village, state)
develop into(disease, disease)
dice(food, vegetable)
dice(vegetable, food)
dice(vegetable, vegetable)
die(artist, time)
die from(member, disease)
die in(artist, city)
die in(artist, place)
die in(bird, city)
die in(community, city)
die in(leader, city)
die in(man, city)
die in(man, country)
die in(member, city)
die in(member, country)
die in(member, place)
die in(member, time)
die in(town, city)
die in(work, city)
die of(animal, disease)
die of(artist, disease)
die of(city, disease)
die of(leader, disease)
die of(man, disease)
die of(member, disease)
die of(place, disease)
die on(artist, time)
die on(leader, time)
die on(man, time)
die on(member, time)
differ deeply with(factor, factor)
differ from(process, process)
dip(food, crop)
dip(food, food)
dip(food, fruit)
dip(food, plant)
dip(food, product)
dip(food, vegetable)
dip(ingredient, crop)
dip(ingredient, food)
dip(ingredient, fruit)
dip(ingredient, plant)
dip(product, crop)
dip(product, food)
dip(product, fruit)
dip(source, crop)
dip(source, food)
dip(source, fruit)
dip(vegetable, food)
dip(vegetable, fruit)
dip in(crop, food)
dip in(food, food)
dip in(food, ingredient)
dip in(food, product)
dip in(fruit, food)
dip in(fruit, ingredient)
dip in(fruit, product)
dip in(fruit, source)
discover in(village, country)
dismiss(organization, organization)
displace(gas, gas)
do(area, community)
do(browser, browser)
do(city, village)
do(game, sport)
do(sport, game)
do(sport, sport)
do(subsidiary, country)
do(substance, drug)
do(system, instrument)
do(town, village)
do arrive in(disease, state)
do cite(body, country)
do with(fruit, system)
dominate(city, city)
dominate(country, place)
dominate(country, sport)
dominate(state, state)
dose of(company, medication)
double(country, city)
download at(application, site)
download at(game, site)
download at(service, site)
download at(sport, site)
download at(technology, site)
download at(tool, site)
drizzle(food, food)
drop(engine, engine)
drop from(sport, event)
dry(food, food)
dry(food, vegetable)
dry(state, fruit)
dry(vegetable, food)
dry(vegetable, vegetable)
ease(device, disease)
eat(animal, animal)
eat(animal, crop)
eat(animal, food)
eat(animal, material)
eat(animal, product)
eat(animal, source)
eat(animal, vegetable)
eat(bird, food)
eat(food, food)
eat(food, product)
eat(fruit, fruit)
eat(product, food)
ed(city, city)
ed(city, town)
ed(company, company)
ed(magazine, city)
ed(magazine, place)
ed(manufacturer, company)
ed(player, area)
ed(player, city)
ed(player, place)
ed(player, town)
ed(region, region)
ed(town, city)
ed(town, town)
elect(body, member)
elect president of(leader, country)
eliminate(city, city)
embrace(country, system)
emerge from(country, industry)
emerge in(disease, country)
emerge in(illness, country)
emit(animal, gas)
emit(source, gas)
enable(hormone, source)
enable(industry, country)
enable(place, device)
enable(service, device)
enable(solution, service)
enable(system, device)
enable(technology, device)
enable(technology, service)
encompass(area, city)
encompass(member, city)
end(country, industry)
end(time, time)
end in(institution, event)
end in(time, country)
end in(time, time)
end on(time, time)
enjoy(city, factor)
enjoy(country, factor)
enjoy(factor, activity)
enjoy(member, sport)
enjoy(sport, activity)
enjoy(sport, sport)
enjoy play(member, sport)
enrich(mineral, food)
enrich(mineral, vegetable)
enter(company, country)
enter(country, agency)
enter(country, body)
enter(country, country)
enter(country, event)
enter(country, factor)
enter(country, industry)
enter(country, institution)
enter(country, instrument)
enter(country, member)
enter(country, organisation)
enter(country, organization)
enter(country, region)
enter(country, system)
enter(country, tool)
enter(disease, country)
enter(engine, country)
enter(man, city)
enter(place, country)
enter(site, country)
enter(town, country)
enter into(country, institution)
enter into(country, organization)
escort(city, city)
establish(event, organization)
estimate(agency, country)
estimate(agency, disease)
estimate(organization, country)
estimate that(agency, country)
estimate that(agency, factor)
estimate that(organization, country)
estimate that(organization, disease)
estimate that in(agency, country)
estimate that in(organization, country)
etch(state, city)
evoke(country, region)
evolve from(sport, sport)
exceed(factor, process)
exceed(process, process)
exchange(country, crop)
exist in(disease, animal)
exist in(disease, country)
exist in(disease, state)
exist in(factor, country)
exist in(infection, country)
exist in(institution, country)
exist in(practice, country)
exist in(system, country)
expand in(company, country)
expand southward into(site, country)
experience(country, event)
experience(country, factor)
experience(country, time)
experience(state, factor)
experience in(organization, country)
export(country, crop)
export(country, food)
export(country, fruit)
export(country, material)
export(country, plant)
export(country, product)
export(country, source)
export(country, vegetable)
export to(country, country)
export to(place, country)
export to(state, country)
express(client, company)
extend(city, metal)
extend into(product, country)
extract from(ingredient, crop)
face(city, city)
face(city, place)
face(country, country)
face(country, event)
face(country, factor)
face(state, state)
face(state, university)
face(system, company)
face(system, country)
fail in(company, country)
fail in(organization, country)
fail in(system, country)
fall(area, country)
fall(city, city)
fall(city, country)
fall for(country, time)
fall in(city, time)
fall in(factor, country)
fall in(factor, time)
fall in(system, country)
fall in(time, time)
fall on(event, time)
fall on(time, time)
fall to(city, city)
fall to(country, city)
fall to(country, country)
fall to(country, system)
fall to(country, use)
favourite(award, country)
favourite(event, country)
feature(country, country)
feature(country, island)
feature(country, region)
feed(company, city)
feed(location, city)
feel in(event, city)
feel like(area, food)
feel like(area, material)
feel like(area, metal)
feel like(area, product)
file for(company, area)
file for(company, factor)
file for(company, process)
fill(food, bird)
fill(material, material)
find(agency, drug)
find(service, drug)
find(service, product)
find in(acid, food)
find in(acid, source)
find in(acid, vegetable)
find in(animal, country)
find in(disease, animal)
find in(disease, country)
find in(disease, place)
find in(disease, state)
find in(drug, country)
find in(infection, country)
find in(mineral, food)
find in(mineral, product)
find in(nutrient, food)
find in(nutrient, fruit)
find in(nutrient, vegetable)
find in(organization, area)
find in(plant, state)
find in(protein, food)
find in(source, food)
find in(substance, food)
find in(village, area)
find in(village, country)
find in(village, place)
find in(village, region)
find in(vitamin, food)
find in(vitamin, fruit)
find in(vitamin, vegetable)
find that(agency, agency)
find that(organization, country)
find that(state, company)
fire(material, source)
fire(source, source)
fire(source, system)
flavor(food, food)
flee(man, city)
flee(man, country)
flee from(state, state)
flee to(artist, country)
flee to(city, country)
flee to(company, country)
flee to(leader, country)
flee to(man, city)
flee to(man, country)
flee to(member, country)
flee to(writer, country)
flow into(state, state)
flow through(place, city)
fly from(company, city)
fly from(service, city)
fly out to(member, disease)
fly out to(vitamin, disease)
fly to(company, city)
fly to(leader, city)
fly to(man, city)
fly to(member, city)
fly to(member, country)
follow(country, country)
follow(country, metal)
follow(crop, crop)
follow(disease, disease)
follow(place, state)
follow(state, place)
follow(state, state)
follow(time, time)
follow by(country, country)
follow by(state, state)
follow by(treatment, treatment)
follow in(country, time)
forbid(country, procedure)
form in(band, city)
form in(village, city)
form in(village, country)
form in(village, place)
form in(village, state)
found(leader, organization)
found(member, organization)
found in(organization, city)
found in(village, city)
found in(village, country)
found in(village, place)
found in(village, state)
gain(country, island)
gain(country, region)
gain(place, state)
gain(state, place)
gain(state, state)
gear up for(city, event)
generate(source, service)
get(animal, disease)
get(browser, engine)
get(city, dish)
get(city, event)
get(country, island)
get(crop, animal)
get(disease, infection)
get(food, animal)
get(food, food)
get(school, area)
get(state, dish)
get(state, state)
get(vegetable, animal)
get taste of(system, platform)
give(animal, event)
give(artist, event)
give(company, browser)
give(company, fruit)
give(company, platform)
give(country, country)
give(country, island)
give(drug, effect)
give(engine, engine)
give(food, food)
give(food, product)
give(graduate, graduate)
give(institution, country)
give(organization, man)
give(player, city)
give(player, country)
give(player, team)
give(procedure, organization)
give(process, organization)
give(process, process)
give(process, product)
give(product, food)
give(protein, food)
give(source, food)
give(sport, area)
give(sport, city)
give(sport, country)
give(sport, place)
give(sport, town)
give(state, leader)
give(state, man)
give(state, state)
give(time, event)
go(activity, activity)
go(activity, sport)
go(company, company)
go(country, fruit)
go(country, sport)
go(food, company)
go(fruit, company)
go(game, activity)
go(game, service)
go(game, sport)
go(organization, activity)
go(sport, activity)
go(sport, sport)
go(state, factor)
go(system, sport)
go(time, activity)
go into(country, country)
go into(country, place)
go into(country, process)
go into(country, state)
go into(man, country)
go to(artist, city)
go to(artist, country)
go to(artist, place)
go to(city, city)
go to(city, country)
go to(graduate, city)
go to(leader, city)
go to(leader, country)
go to(man, city)
go to(man, country)
go to(man, place)
go to(member, city)
go to(member, country)
go to(member, place)
go to(member, state)
go to(work, city)
go to(writer, country)
grab(country, company)
graduate from(man, university)
graduate from(member, employer)
graduate from(member, institution)
graduate from(member, school)
graduate from(member, university)
graduate from university of(graduate, state)
graduate from university of(member, state)
grow(country, crop)
grow(country, food)
grow(country, fruit)
grow(country, plant)
grow(country, vegetable)
grow(place, fruit)
grow(state, crop)
grow(state, food)
grow(state, fruit)
grow(state, vegetable)
grow in(crop, country)
grow in(food, country)
grow in(fruit, country)
grow in(herb, area)
grow in(herb, country)
grow in(ingredient, country)
grow in(member, country)
grow in(plant, area)
grow in(plant, country)
grow in(plant, place)
grow in(product, country)
grow in(source, country)
grow in(tree, country)
grow luxuriantly in(crop, state)
grow luxuriantly in(plant, state)
grow up in(artist, city)
grow up in(artist, state)
grow up in(author, state)
grow up in(graduate, city)
grow up in(man, state)
grow up in(member, area)
grow up in(member, city)
grow up in(member, place)
grow up in(member, state)
grow up in(writer, state)
grow well near(vegetable, vegetable)
grow widely in(crop, country)
grow widely in(food, country)
grow widely in(vegetable, country)
guide(procedure, procedure)
guide(service, procedure)
hail from(fruit, country)
hail from(member, city)
hand(body, man)
hand(state, state)
handle(browser, technology)
happen in(event, country)
hate(city, city)
hate(country, country)
hate(factor, company)
hate(factor, sport)
have acquire(company, company)
have acquire(engine, company)
have acquire(engine, product)
have acquire(engine, service)
have acquire(engine, site)
have award(organization, company)
have be link to(factor, disease)
have be play(state, sport)
have be sell(company, hormone)
have be work with(agency, agency)
have beat(city, city)
have beat(city, state)
have beat(country, country)
have beat(country, place)
have beat(place, country)
have beat(state, place)
have beat(state, state)
have become(city, country)
have buy(company, company)
have buy(engine, company)
have buy(engine, service)
have buy(engine, site)
have call(leader, country)
have call(man, country)
have come to(system, country)
have conquer(city, country)
have deny(agency, state)
have do for(leader, country)
have do for(man, country)
have drop(artist, country)
have embrace(country, system)
have give(country, place)
have give(organization, country)
have hit(disease, country)
have host(city, event)
have host(country, event)
have host(place, event)
have identify(agency, country)
have in(food, city)
have inform(country, agency)
have invade(country, country)
have invade(country, place)
have invade(country, state)
have invade(leader, country)
have invade(man, country)
have invade(place, country)
have invade(state, country)
have issue(company, material)
have join(country, agency)
have join(country, body)
have join(country, country)
have join(country, institution)
have join(country, member)
have join(country, organisation)
have join(country, organization)
have join(state, place)
have join(state, state)
have launch(engine, service)
have lose to(state, state)
have more about(organization, disease)
have more than(state, country)
have name(publication, company)
have overtake(country, country)
have partner with(company, material)
have play(country, game)
have play(country, sport)
have qualify for(country, event)
have rank(organization, country)
have release(browser, browser)
have release(company, browser)
have release(company, system)
have release(engine, tool)
have release(fruit, browser)
have release(fruit, platform)
have release(fruit, service)
have release(fruit, system)
have show(country, sport)
have sign(country, tool)
have support(country, organization)
have tell(country, agency)
have tell(country, country)
have tell(country, organization)
have tell(country, state)
have tell(organization, country)
have warn(agency, country)
have warn(city, country)
have warn(country, country)
have warn(organization, country)
have win(bird, event)
have win(city, event)
have win(country, award)
have win(country, body)
have win(country, event)
have win(leader, state)
have win(man, state)
have win(place, event)
have win(team, event)
have win(team, game)
head for(village, state)
head to(city, city)
headquarter in(company, city)
headquarter in(organization, city)
headquarter in(village, state)
help(agency, country)
help(area, site)
help(country, country)
help(drug, site)
help(herb, disease)
help(herb, effect)
help(herb, factor)
help(institution, country)
help(organisation, country)
help(organization, agency)
help(organization, organization)
help(partner, country)
help(plant, factor)
help(player, country)
help(sport, city)
help(sport, town)
help(vitamin, factor)
help maintain(mineral, factor)
help prevent(effect, disease)
