, base in(agency, city)
stand for(system, approach)
stand for(system, service)
stand for(system, system)
stand for(system, technology)
stand for(system, tool)
stand for(technology, area)
stand for(technology, development)
stand for(technology, service)
stand for(technology, system)
stand for(technology, technology)
stand for(technology, tool)
stand for(tool, service)
stand for(tool, system)
stand for(tool, technology)
stand for(tool, tool)
stand for(treatment, procedure)
stand for(treatment, treatment)
to acquire(company, company)
to acquire(leader, company)
to acquire(manufacturer, company)
to host(city, event)
to host(country, event)
to join(country, body)
to join(country, institution)
to join(country, organisation)
to join(country, organization)
will be base in(country, city)
will be hold in(country, city)
will be hold in(event, area)
will be hold in(event, city)
will be hold in(event, country)
will be hold in(event, place)
will be hold in(event, time)
will be hold in(game, city)
will be hold in(organization, city)
will be hold on(event, time)
will be host(country, event)
will become(place, country)
will buy(company, company)
will buy(engine, company)
will host(city, event)
will host(country, event)
will join(country, body)
will join(country, institution)
will join(country, organisation)
will join(country, organization)
will join(place, state)
will join(state, city)
will join(state, place)
will join(state, state)
